product_name,category_shelf,match_key
ARIPIPRAZOLE TAB 15MG 28'S,Pharmacy medicine,aripiprazole tab 15mg 28's
ARIZONA DRINK FRUIT PUNCH 591ML,Other / uncategorised,arizona drink fruit punch 591ml
ARM & HAMMER T/PASTE EXTRA WHITE 125ML,Cosmetics,arm & hammer t/paste extra white 125ml
ARM & HAMMER T/PASTE SENSITIVE 125G,OTC,arm & hammer t/paste sensitive 125g
ARM AND HAMMER STICK ULTRAMAX,Other / uncategorised,arm and hammer stick ultramax
ARM SLING,Pharmacy medicine,arm sling
ART BOX CRAYONS 36',Other / uncategorised,art box crayons 36'
ART/LUMEFANTRINE (LUFART DS)80MG/480MG TABS 6'S,OTC,art/lumefantrine (lufart ds)80mg/480mg tabs 6's
ARTEMETHER INJ 80MG,OTC,artemether inj 80mg
ARTESUNATE 30MG INJ,Pharmacy medicine,artesunate 30mg inj
ARTESUNATE INJ 120MG,Other / uncategorised,artesunate inj 120mg
ARTESUNATE INJ 60MG,Other / uncategorised,artesunate inj 60mg
ARTHEMETHER LUMEFSNTRINE (LUMETRUST -FORTE) 80/480MG,Pharmacy medicine,arthemether lumefsntrine (lumetrust -forte) 80/480mg
ARTHROSAMINE PLUS (GLUCOSAMINE CHONDRONTOIN),Pharmacy medicine,arthrosamine plus (glucosamine chondrontoin)
ARTHROTEC TABS 75MG 20'S,OTC,arthrotec tabs 75mg 20's
ASCORYL PLUS (ASCORBIC ACID) 125ML SYRUP,OTC,ascoryl plus (ascorbic acid) 125ml syrup
ASCORYL SYRUP 125ML,OTC,ascoryl syrup 125ml
ASCOVIT CEE (VITAMIN C) TABS 100MG 300S,OTC,ascovit cee (vitamin c) tabs 100mg 300s
ASCOVIT CEE SYRUP,OTC,ascovit cee syrup
ASHTON & PARSONS TEETHING POWDER 20'S,OTC,ashton & parsons teething powder 20's
ASHWAGANDHA GUMMIES 60'S,Other / uncategorised,ashwagandha gummies 60's
ASMADRIN TABS 25,Pharmacy medicine,asmadrin tabs 25
ASMANOL TABS,Pharmacy medicine,asmanol tabs
ASPIRIN ( ALKA-SELTZER) 324MGTABS 10'S,OTC,aspirin ( alka-seltzer) 324mgtabs 10's
ASPIRIN CARDIO 100MG TAB'S 30'S,OTC,aspirin cardio 100mg tab's 30's
ASPIRIN DISPERSIBLE 75MG ACCORD 100',Prescription medicine,aspirin dispersible 75mg accord 100'
ASTHALEX SALBUTAMOL SYRUP 100ML,Prescription medicine,asthalex salbutamol syrup 100ml
ASTONISH BATHROOM CLEANER,Cosmetics,astonish bathroom cleaner
ASTYFER SYR 200ML,OTC,astyfer syr 200ml
ASTYMIN SYRUP 200ML,Prescription medicine,astymin syrup 200ml
ATACAND PLUS 32/12.5MG,Prescription medicine,atacand plus 32/12.5mg
ATACAND PLUS TABS 16/12.5MG 28'S,Pharmacy medicine,atacand plus tabs 16/12.5mg 28's
ATACAND TAB 32MG,Prescription medicine,atacand tab 32mg
ATACAND TABS 16MG 28'S,Pharmacy medicine,atacand tabs 16mg 28's
ATACAND TABS 8MG 28'S,Pharmacy medicine,atacand tabs 8mg 28's
ATENOLOL 100MG 28'S UK,Prescription medicine,atenolol 100mg 28's uk
ATENOLOL 25MG TAB UK,Prescription medicine,atenolol 25mg tab uk
ATENOLOL 50MG TABS 28'S U.K.,OTC,atenolol 50mg tabs 28's u.k.
ATENOLOL TAB 50MG 28' UK,Prescription medicine,atenolol tab 50mg 28' uk
ATHENA COTTON BALLS 100'S,Other / uncategorised,athena cotton balls 100's
ATHENA COTTON BUDS 100'S,Other / uncategorised,athena cotton buds 100's
ATHENA EXFOLIATING GLOVES 2PK,Other / uncategorised,athena exfoliating gloves 2pk
ATHLETES FOOT ANTIFUNGAL CREAM,OTC,athletes foot antifungal cream
ATORVASTATIN (LIPITOR) 10MG TABS 30'S,Pharmacy medicine,atorvastatin (lipitor) 10mg tabs 30's
ATORVASTATIN (LIPITOR) 20MG TABS 30'S,Pharmacy medicine,atorvastatin (lipitor) 20mg tabs 30's
ATORVASTATIN (LIPITOR) 40MG TABS 30'S,Pharmacy medicine,atorvastatin (lipitor) 40mg tabs 30's
ATORVASTATIN 10MG TAB UK,Prescription medicine,atorvastatin 10mg tab uk
ATORVASTATIN 10MG TEVA,OTC,atorvastatin 10mg teva
ATORVASTATIN 20MG 28'S VEGA UK,OTC,atorvastatin 20mg 28's vega uk
ATORVASTATIN 20MG TABS TEVA,Pharmacy medicine,atorvastatin 20mg tabs teva
ATORVASTATIN 40MG TABS 28'S VEGA,Pharmacy medicine,atorvastatin 40mg tabs 28's vega
ATORVASTATIN 40MG TABS TEVA,Pharmacy medicine,atorvastatin 40mg tabs teva
ATORVASTATIN 80MG UK,OTC,atorvastatin 80mg uk
ATWOOD BITTERS,OTC,atwood bitters
AUGMENTIN (AMOXICILLIN/CLAVULANIC) 625MG TABS 14'S,Prescription medicine,augmentin (amoxicillin/clavulanic) 625mg tabs 14's
AUGMENTIN 1G (AMOXICILLIN/CLAVULANIC) TABS 14'S,Prescription medicine,augmentin 1g (amoxicillin/clavulanic) tabs 14's
AUGMENTIN 228ML/5ML SUSP,Prescription medicine,augmentin 228ml/5ml susp
AUGMENTIN SUSP 457MG 70ML,Prescription medicine,augmentin susp 457mg 70ml
AUNTIE MARY GRIPE WATER 160ML,OTC,auntie mary gripe water 160ml
AVAMYS NASAL SPRAY 7.5MCG 120 DOSES,OTC,avamys nasal spray 7.5mcg 120 doses
AVEENO ADULT BODY LOTION 500ML,Cosmetics,aveeno adult body lotion 500ml
AVEENO BABY LOTION 532ML,Baby & infant,aveeno baby lotion 532ml
AVEENO BABY WASH AND SHAMPOO,Other / uncategorised,aveeno baby wash and shampoo
AVEENO BODY WASH 975ML,Cosmetics,aveeno body wash 975ml
AVEENO DAILY MOISTURIZING LOTION 300ML,Other / uncategorised,aveeno daily moisturizing lotion 300ml
AVEENO DAILY MOISTURIZING LOTION 709ML,OTC,aveeno daily moisturizing lotion 709ml
AVEENO DAILY MOISTURIZING OIL 200ML,Other / uncategorised,aveeno daily moisturizing oil 200ml
AVOMINE (PROMETHAZINE TEOCLATE) 25MG TABS 10'S,Prescription medicine,avomine (promethazine teoclate) 25mg tabs 10's
AVOMINE (PROMETHAZINE) 25MG TAB 28'S,Other / uncategorised,avomine (promethazine) 25mg tab 28's
AXE BODY SPRAY 150ML,Other / uncategorised,axe body spray 150ml
AXE BODY SPRAY 250ML,Other / uncategorised,axe body spray 250ml
AYRTONS TOUCH AND GO TOOTHACHE SOLN 7ML,Other / uncategorised,ayrtons touch and go toothache soln 7ml
AYURSLIM CAPS 120'S,OTC,ayurslim caps 120's
AZATHIOPINE 50MG TAB,Prescription medicine,azathiopine 50mg tab
AZATHIOPRINE 25MG 100'S,Other / uncategorised,azathioprine 25mg 100's
